% Model:              microstrip_patch_antenna.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 31 2023, 16:50
% Dimension:          3
% Nodes:              1000000
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        mm
% Theta           Phi              r
0.12693304        6.28318531       0.02854212
0.15866630        0.00000000       0.02854212
0.15866630        0.06346652       0.02653639
0.15866630        0.12693304       0.02547152
0.15866630        0.19039955       0.02537630
0.15866630        0.25386607       0.02616380
0.15866630        0.31733259       0.02765920
0.15866630        0.38079911       0.02965801
0.15866630        0.44426563       0.03197288
0.15866630        0.50773215       0.03445315
0.15866630        0.57119866       0.03698544
0.15866630        0.63466518       0.03948696
0.15866630        0.69813170       0.04189779
0.15866630        0.76159822       0.04417465
0.15866630        0.82506474       0.04628631
0.15866630        0.88853126       0.04821031
0.15866630        0.95199777       0.04993070
0.15866630        1.01546429       0.05143651
0.15866630        1.07893081       0.05272058
0.15866630        1.14239733       0.05377878
0.15866630        1.20586385       0.05460939
0.15866630        1.26933037       0.05521266
0.15866630        1.33279688       0.05559045
0.15866630        1.39626340       0.05574593
0.15866630        1.45972992       0.05568339
0.15866630        1.52319644       0.05540799
0.15866630        1.58666296       0.05492565
0.15866630        1.65012947       0.05424290
0.15866630        1.71359599       0.05336674
0.15866630        1.77706251       0.05230458
0.15866630        1.84052903       0.05106412
0.15866630        1.90399555       0.04965329
0.15866630        1.96746207       0.04808022
0.15866630        2.03092858       0.04635313
0.15866630        2.09439510       0.04448035
0.15866630        2.15786162       0.04247026
0.15866630        2.22132814       0.04033125
0.15866630        2.28479466       0.03807174
0.15866630        2.34826118       0.03570014
0.15866630        2.41172769       0.03322483
0.15866630        2.47519421       0.03065420
0.15866630        2.53866073       0.02799661
0.15866630        2.60212725       0.02526038
0.15866630        2.66559377       0.02245385
0.15866630        2.72906028       0.01958530
0.15866630        2.79252680       0.01666304
0.15866630        2.85599332       0.01369534
0.15866630        2.91945984       0.01069047
0.15866630        2.98292636       0.00765669
0.15866630        3.04639288       0.00460227
0.15866630        3.10985939       0.00153547
0.15866630        3.17332591       0.00153547
0.15866630        3.23679243       0.00460227
0.15866630        3.30025895       0.00765669
0.15866630        3.36372547       0.01069047
0.15866630        3.42719199       0.01369534
0.15866630        3.49065850       0.01666304
0.15866630        3.55412502       0.01958530
0.15866630        3.61759154       0.02245385
0.15866630        3.68105806       0.02526038
0.15866630        3.74452458       0.02799661
0.15866630        3.80799110       0.03065420
0.15866630        3.87145761       0.03322483
0.15866630        3.93492413       0.03570014
0.15866630        3.99839065       0.03807174
0.15866630        4.06185717       0.04033125
0.15866630        4.12532369       0.04247026
0.15866630        4.18879020       0.04448035
0.15866630        4.25225672       0.04635313
0.15866630        4.31572324       0.04808022
0.15866630        4.37918976       0.04965329
0.15866630        4.44265628       0.05106412
0.15866630        4.50612280       0.05230458
0.15866630        4.56958931       0.05336674
0.15866630        4.63305583       0.05424290
0.15866630        4.69652235       0.05492565
0.15866630        4.75998887       0.05540799
0.15866630        4.82345539       0.05568339
0.15866630        4.88692191       0.05574593
0.15866630        4.95038842       0.05559045
0.15866630        5.01385494       0.05521266
0.15866630        5.07732146       0.05460939
0.15866630        5.14078798       0.05377878
0.15866630        5.20425450       0.05272058
0.15866630        5.26772102       0.05143651
0.15866630        5.33118753       0.04993070
0.15866630        5.39465405       0.04821031
0.15866630        5.45812057       0.04628631
0.15866630        5.52158709       0.04417465
0.15866630        5.58505361       0.04189779
0.15866630        5.64852012       0.03948696
0.15866630        5.71198664       0.03698544
0.15866630        5.77545316       0.03445315
0.15866630        5.83891968       0.03197288
0.15866630        5.90238620       0.02965801
0.15866630        5.96585272       0.02765920
0.15866630        6.02931923       0.02616380
0.15866630        6.09278575       0.02537630
0.15866630        6.15625227       0.02547152
0.15866630        6.21971879       0.02653639
0.15866630        6.28318531       0.02854212
0.19039955        0.00000000       0.02854212
0.19039955        0.06346652       0.02640993
0.19039955        0.12693304       0.02520949
0.19039955        0.19039955       0.02497273
0.19039955        0.25386607       0.02561722
0.19039955        0.31733259       0.02697037
0.19039955        0.38079911       0.02882696
0.19039955        0.44426563       0.03099749
0.19039955        0.50773215       0.03332940
0.19039955        0.57119866       0.03570831
0.19039955        0.63466518       0.03805135
0.19039955        0.69813170       0.04029932
0.19039955        0.76159822       0.04241019
0.19039955        0.82506474       0.04435430
0.19039955        0.88853126       0.04611100
0.19039955        0.95199777       0.04766629
0.19039955        1.01546429       0.04901117
0.19039955        1.07893081       0.05014046
0.19039955        1.14239733       0.05105193
0.19039955        1.20586385       0.05174572
0.19039955        1.26933037       0.05222376
0.19039955        1.33279688       0.05248949
0.19039955        1.39626340       0.05254745
0.19039955        1.45972992       0.05240314
0.19039955        1.52319644       0.05206272
0.19039955        1.58666296       0.05153289
0.19039955        1.65012947       0.05082077
0.19039955        1.71359599       0.04993372
0.19039955        1.77706251       0.04887930
0.19039955        1.84052903       0.04766517
0.19039955        1.90399555       0.04629902
0.19039955        1.96746207       0.04478856
0.19039955        2.03092858       0.04314145
0.19039955        2.09439510       0.04136530
0.19039955        2.15786162       0.03946765
0.19039955        2.22132814       0.03745599
0.19039955        2.28479466       0.03533771
0.19039955        2.34826118       0.03312018
0.19039955        2.41172769       0.03081070
0.19039955        2.47519421       0.02841655
0.19039955        2.53866073       0.02594498
0.19039955        2.60212725       0.02340326
0.19039955        2.66559377       0.02079864
0.19039955        2.72906028       0.01813842
0.19039955        2.79252680       0.01542991
0.19039955        2.85599332       0.01268046
0.19039955        2.91945984       0.00989746
0.19039955        2.98292636       0.00708831
0.19039955        3.04639288       0.00426047
0.19039955        3.10985939       0.00142141
0.19039955        3.17332591       0.00142141
0.19039955        3.23679243       0.00426047
0.19039955        3.30025895       0.00708831
0.19039955        3.36372547       0.00989746
0.19039955        3.42719199       0.01268046
0.19039955        3.49065850       0.01542991
0.19039955        3.55412502       0.01813842
0.19039955        3.61759154       0.02079864
0.19039955        3.68105806       0.02340326
0.19039955        3.74452458       0.02594498
0.19039955        3.80799110       0.02841655
0.19039955        3.87145761       0.03081070
0.19039955        3.93492413       0.03312018
0.19039955        3.99839065       0.03533771
0.19039955        4.06185717       0.03745599
0.19039955        4.12532369       0.03946765
0.19039955        4.18879020       0.04136530
0.19039955        4.25225672       0.04314145
0.19039955        4.31572324       0.04478856
0.19039955        4.37918976       0.04629902
0.19039955        4.44265628       0.04766517
0.19039955        4.50612280       0.04887930
0.19039955        4.56958931       0.04993372
0.19039955        4.63305583       0.05082077
0.19039955        4.69652235       0.05153289
0.19039955        4.75998887       0.05206272
0.19039955        4.82345539       0.05240314
0.19039955        4.88692191       0.05254745
0.19039955        4.95038842       0.05248949
0.19039955        5.01385494       0.05222376
0.19039955        5.07732146       0.05174572
0.19039955        5.14078798       0.05105193
0.19039955        5.20425450       0.05014046
0.19039955        5.26772102       0.04901117
0.19039955        5.33118753       0.04766629
0.19039955        5.39465405       0.04611100
0.19039955        5.45812057       0.04435430
0.19039955        5.52158709       0.04241019
0.19039955        5.58505361       0.04029932
0.19039955        5.64852012       0.03805135
0.19039955        5.71198664       0.03570831
0.19039955        5.77545316       0.03332940
0.19039955        5.83891968       0.03099749
0.19039955        5.90238620       0.02882696
0.19039955        5.96585272       0.02697037
0.19039955        6.02931923       0.02561722
0.19039955        6.09278575       0.02497273
0.19039955        6.15625227       0.02520949
0.19039955        6.21971879       0.02640993
0.19039955        6.28318531       0.02854212
0.22213281        0.00000000       0.02854212
0.22213281        0.06346652       0.02629036
0.22213281        0.12693304       0.02495419
0.22213281        0.19039955       0.02456977
0.22213281        0.25386607       0.02506191
0.22213281        0.31733259       0.02626352
0.22213281        0.38079911       0.02797104
0.22213281        0.44426563       0.02999410
0.22213281        0.50773215       0.03217865
0.22213281        0.57119866       0.03440932
0.22213281        0.63466518       0.03660301
0.22213281        0.69813170       0.03870099
0.22213281        0.76159822       0.04066222
0.22213281        0.82506474       0.04245839
0.22213281        0.88853126       0.04407042
0.22213281        0.95199777       0.04548598
0.22213281        1.01546429       0.04669777
0.22213281        1.07893081       0.04770231
0.22213281        1.14239733       0.04849898
0.22213281        1.20586385       0.04908938
0.22213281        1.26933037       0.04947682
0.22213281        1.33279688       0.04966587
0.22213281        1.39626340       0.04966207
0.22213281        1.45972992       0.04947165
0.22213281        1.52319644       0.04910131
0.22213281        1.58666296       0.04855808
0.22213281        1.65012947       0.04784912
0.22213281        1.71359599       0.04698166
0.22213281        1.77706251       0.04596292
0.22213281        1.84052903       0.04479998
0.22213281        1.90399555       0.04349984
0.22213281        1.96746207       0.04206931
0.22213281        2.03092858       0.04051507
0.22213281        2.09439510       0.03884363
0.22213281        2.15786162       0.03706138
0.22213281        2.22132814       0.03517461
0.22213281        2.28479466       0.03318953
0.22213281        2.34826118       0.03111233
0.22213281        2.41172769       0.02894918
0.22213281        2.47519421       0.02670632
0.22213281        2.53866073       0.02439004
0.22213281        2.60212725       0.02200673
0.22213281        2.66559377       0.01956291
0.22213281        2.72906028       0.01706525
0.22213281        2.79252680       0.01452053
0.22213281        2.85599332       0.01193569
